#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ARNT	NPAS4	9606.ENSP00000351407	9606.ENSP00000311196	0	0	0	0.554	0	0.908	0.900	0.237	0.992
ARNT	AHRR	9606.ENSP00000351407	9606.ENSP00000323816	0	0	0	0.556	0.091	0.485	0.700	0.339	0.894
ARNT	NPAS2	9606.ENSP00000351407	9606.ENSP00000338283	0	0	0	0.593	0	0	0	0.615	0.615
ARNT	NPAS3	9606.ENSP00000351407	9606.ENSP00000348460	0	0	0	0.567	0	0.662	0	0.241	0.733
ARNT	NCOA1	9606.ENSP00000351407	9606.ENSP00000385216	0	0	0	0.558	0.084	0.292	0	0.176	0.419
ARNT	ARNTL	9606.ENSP00000351407	9606.ENSP00000384517	0	0	0	0.821	0	0	0.540	0.136	0.585
ARNT	NCOA2	9606.ENSP00000351407	9606.ENSP00000399968	0	0	0	0.552	0.119	0.510	0	0.186	0.618
ARNT	HEY2	9606.ENSP00000351407	9606.ENSP00000357348	0	0	0	0	0	0.268	0	0.513	0.629
ARNT	CLOCK	9606.ENSP00000351407	9606.ENSP00000426983	0	0	0	0.587	0.049	0	0	0.688	0.691
ARNT	MYC	9606.ENSP00000351407	9606.ENSP00000478887	0	0	0	0	0	0.187	0	0.695	0.741
ARNT	NPAS1	9606.ENSP00000351407	9606.ENSP00000469142	0	0	0	0.573	0	0.719	0	0.583	0.878
ARNT	SIM1	9606.ENSP00000351407	9606.ENSP00000358210	0	0	0	0.576	0	0.793	0	0.678	0.930
ARNT	HIF3A	9606.ENSP00000351407	9606.ENSP00000366898	0	0	0	0.591	0.077	0.792	0.500	0.990	0.999
ARNT	HIF1A	9606.ENSP00000351407	9606.ENSP00000437955	0	0	0	0.584	0.093	0.999	0.900	0.990	0.999
ARNT2	AHR	9606.ENSP00000307479	9606.ENSP00000242057	0	0	0	0.556	0.109	0.692	0.700	0.359	0.940
ARNT2	EPAS1	9606.ENSP00000307479	9606.ENSP00000263734	0	0	0	0.601	0.064	0.704	0.900	0.952	0.998
ARNT2	ARNTL2	9606.ENSP00000307479	9606.ENSP00000266503	0	0	0	0.778	0	0	0.540	0.121	0.578
ARNT2	ASCL1	9606.ENSP00000307479	9606.ENSP00000266744	0	0	0	0	0.083	0	0	0.486	0.508
ARNT2	SIM2	9606.ENSP00000307479	9606.ENSP00000290399	0	0	0	0.596	0	0.822	0	0.485	0.904
ARNT2	NEUROD1	9606.ENSP00000307479	9606.ENSP00000295108	0	0	0	0	0.064	0	0	0.454	0.467
ARNT2	CLOCK	9606.ENSP00000307479	9606.ENSP00000426983	0	0	0	0.578	0	0	0	0.496	0.496
ARNT2	ARNTL	9606.ENSP00000307479	9606.ENSP00000384517	0	0	0	0.815	0	0	0.540	0.392	0.708
ARNT2	NPAS1	9606.ENSP00000307479	9606.ENSP00000469142	0	0	0	0.575	0	0.686	0	0.289	0.767
ARNT2	NPAS3	9606.ENSP00000307479	9606.ENSP00000348460	0	0	0	0.568	0.086	0.737	0	0.300	0.817
ARNT2	AHRR	9606.ENSP00000307479	9606.ENSP00000323816	0	0	0	0.554	0.091	0.303	0.700	0.277	0.844
ARNT2	ARNT	9606.ENSP00000307479	9606.ENSP00000351407	0	0	0.052	0.961	0	0	0.900	0.690	0.968
ARNT2	HIF3A	9606.ENSP00000307479	9606.ENSP00000366898	0	0	0	0.592	0.077	0.464	0	0.957	0.977
ARNT2	SIM1	9606.ENSP00000307479	9606.ENSP00000358210	0	0	0	0.585	0	0.727	0	0.927	0.979
ARNT2	NPAS4	9606.ENSP00000307479	9606.ENSP00000311196	0	0	0	0.553	0.067	0.908	0.900	0.806	0.998
ARNT2	HIF1A	9606.ENSP00000307479	9606.ENSP00000437955	0	0	0	0.591	0.086	0.694	0.900	0.984	0.999
ARNTL	ID2	9606.ENSP00000384517	9606.ENSP00000234091	0	0	0	0	0.043	0	0	0.508	0.509
ARNTL	AHR	9606.ENSP00000384517	9606.ENSP00000242057	0	0	0	0.578	0.098	0.485	0.540	0.141	0.792
ARNTL	BHLHE41	9606.ENSP00000384517	9606.ENSP00000242728	0	0	0	0	0	0.089	0.500	0.978	0.989
ARNTL	BHLHE40	9606.ENSP00000384517	9606.ENSP00000256495	0	0	0	0	0.058	0.232	0.500	0.964	0.985
ARNTL	EPAS1	9606.ENSP00000384517	9606.ENSP00000263734	0	0	0	0.620	0.045	0.716	0	0.738	0.922
ARNTL	ARNTL2	9606.ENSP00000384517	9606.ENSP00000266503	0	0	0.062	0.930	0.042	0.777	0.540	0.455	0.940
ARNTL	SIM2	9606.ENSP00000384517	9606.ENSP00000290399	0	0	0	0.609	0.063	0.236	0	0.305	0.459
ARNTL	TAL1	9606.ENSP00000384517	9606.ENSP00000294339	0	0	0	0	0	0	0	0.435	0.435
ARNTL	ARNT2	9606.ENSP00000384517	9606.ENSP00000307479	0	0	0	0.815	0	0	0.540	0.392	0.708
ARNTL	NPAS4	9606.ENSP00000384517	9606.ENSP00000311196	0	0	0	0.560	0	0.585	0.900	0.795	0.990
ARNTL	AHRR	9606.ENSP00000384517	9606.ENSP00000323816	0	0	0	0.562	0.091	0.303	0.540	0.193	0.733
ARNTL	NPAS2	9606.ENSP00000384517	9606.ENSP00000338283	0	0	0	0.640	0.110	0.919	0.800	0.991	0.999
ARNTL	SREBF1	9606.ENSP00000384517	9606.ENSP00000348069	0	0	0	0	0	0	0	0.484	0.484
ARNTL	ARNT	9606.ENSP00000384517	9606.ENSP00000351407	0	0	0	0.821	0	0	0.540	0.136	0.585
ARNTL	USF1	9606.ENSP00000384517	9606.ENSP00000357000	0	0	0	0	0	0.066	0	0.585	0.596
ARNTL	SIM1	9606.ENSP00000384517	9606.ENSP00000358210	0	0	0	0.613	0.063	0.236	0	0.229	0.400
ARNTL	HIF3A	9606.ENSP00000384517	9606.ENSP00000366898	0	0	0	0.594	0	0.284	0	0.470	0.604
ARNTL	MYC	9606.ENSP00000384517	9606.ENSP00000478887	0	0	0	0	0	0	0	0.475	0.475
ARNTL	NPAS1	9606.ENSP00000384517	9606.ENSP00000469142	0	0	0	0.600	0	0.284	0	0.303	0.479
ARNTL	HIF1A	9606.ENSP00000384517	9606.ENSP00000437955	0	0	0	0.623	0	0.749	0	0.860	0.963
ARNTL	CLOCK	9606.ENSP00000384517	9606.ENSP00000426983	0	0	0	0.645	0.117	0.994	0.800	0.991	0.999
ARNTL2	AHR	9606.ENSP00000266503	9606.ENSP00000242057	0	0	0	0.564	0.098	0.303	0.540	0.119	0.711
ARNTL2	BHLHE41	9606.ENSP00000266503	9606.ENSP00000242728	0	0	0	0	0.044	0.089	0	0.543	0.567
ARNTL2	BHLHE40	9606.ENSP00000266503	9606.ENSP00000256495	0	0	0	0	0	0.089	0	0.683	0.699
ARNTL2	EPAS1	9606.ENSP00000266503	9606.ENSP00000263734	0	0	0	0.622	0	0.589	0	0.178	0.648
ARNTL2	NPAS1	9606.ENSP00000266503	9606.ENSP00000469142	0	0	0	0.601	0	0.284	0	0.199	0.402
ARNTL2	HIF3A	9606.ENSP00000266503	9606.ENSP00000366898	0	0	0	0.600	0	0.284	0	0.211	0.411
ARNTL2	ARNT	9606.ENSP00000266503	9606.ENSP00000351407	0	0	0	0.794	0	0	0.540	0.087	0.562
ARNTL2	NPAS4	9606.ENSP00000266503	9606.ENSP00000311196	0	0	0	0.555	0	0.484	0	0.193	0.566
ARNTL2	ARNT2	9606.ENSP00000266503	9606.ENSP00000307479	0	0	0	0.778	0	0	0.540	0.121	0.578
ARNTL2	HIF1A	9606.ENSP00000266503	9606.ENSP00000437955	0	0	0	0.616	0.055	0.284	0	0.462	0.604
ARNTL2	AHRR	9606.ENSP00000266503	9606.ENSP00000323816	0	0	0	0.556	0.105	0.303	0.540	0.181	0.733
ARNTL2	ARNTL	9606.ENSP00000266503	9606.ENSP00000384517	0	0	0.062	0.930	0.042	0.777	0.540	0.455	0.940
ARNTL2	NPAS2	9606.ENSP00000266503	9606.ENSP00000338283	0	0	0.112	0.612	0.093	0.890	0.540	0.953	0.997
ARNTL2	CLOCK	9606.ENSP00000266503	9606.ENSP00000426983	0	0	0	0.622	0.086	0.891	0.900	0.962	0.999
ASCL1	HES1	9606.ENSP00000266744	9606.ENSP00000232424	0	0	0	0	0.089	0.345	0	0.568	0.720
ASCL1	ID2	9606.ENSP00000266744	9606.ENSP00000234091	0	0	0	0	0.044	0.125	0	0.633	0.666
ASCL1	NEUROG3	9606.ENSP00000266744	9606.ENSP00000242462	0	0	0	0	0.103	0.098	0	0.664	0.705
ASCL1	NEUROD4	9606.ENSP00000266744	9606.ENSP00000242994	0	0	0	0	0.177	0.094	0	0.755	0.801
ASCL1	TCF3	9606.ENSP00000266744	9606.ENSP00000262965	0	0	0	0	0.100	0.765	0	0.292	0.837
ASCL1	HES4	9606.ENSP00000266744	9606.ENSP00000393198	0	0	0	0	0.081	0.189	0	0.314	0.445
ASCL1	HES3	9606.ENSP00000266744	9606.ENSP00000367130	0	0	0	0	0	0.094	0	0.416	0.449
ASCL1	OLIG3	9606.ENSP00000266744	9606.ENSP00000356708	0	0	0	0	0.058	0.071	0	0.446	0.474
ASCL1	MYCN	9606.ENSP00000266744	9606.ENSP00000281043	0	0	0	0	0.049	0	0	0.485	0.489
ASCL1	HEY1	9606.ENSP00000266744	9606.ENSP00000338272	0	0	0	0	0.066	0.094	0	0.456	0.499
ASCL1	MYCL	9606.ENSP00000266744	9606.ENSP00000380494	0	0	0	0	0	0.071	0	0.492	0.508
ASCL1	ARNT2	9606.ENSP00000266744	9606.ENSP00000307479	0	0	0	0	0.083	0	0	0.486	0.508
ASCL1	MYC	9606.ENSP00000266744	9606.ENSP00000478887	0	0	0	0	0.070	0.048	0	0.497	0.516
ASCL1	NEUROD1	9606.ENSP00000266744	9606.ENSP00000295108	0	0	0	0.606	0.177	0.094	0	0.433	0.541
ASCL1	BHLHE22	9606.ENSP00000266744	9606.ENSP00000318799	0	0	0	0	0.141	0.071	0	0.473	0.543
ASCL1	NEUROD6	9606.ENSP00000266744	9606.ENSP00000297142	0	0	0	0	0.201	0.094	0	0.496	0.603
ASCL1	HEY2	9606.ENSP00000266744	9606.ENSP00000357348	0	0	0	0	0.057	0.094	0	0.620	0.647
ASCL1	HELT	9606.ENSP00000266744	9606.ENSP00000426033	0	0	0	0	0.083	0.094	0	0.624	0.660
ASCL1	NEUROD2	9606.ENSP00000266744	9606.ENSP00000306754	0	0	0	0	0.164	0.094	0	0.640	0.703
ASCL1	HES5	9606.ENSP00000266744	9606.ENSP00000367714	0	0	0	0	0.086	0.094	0	0.696	0.726
ASCL1	OLIG2	9606.ENSP00000266744	9606.ENSP00000331040	0	0	0	0	0.113	0.071	0	0.749	0.775
ASCL1	OLIG1	9606.ENSP00000266744	9606.ENSP00000371785	0	0	0	0	0.102	0.071	0	0.764	0.785
ASCL1	TCF4	9606.ENSP00000266744	9606.ENSP00000381382	0	0	0	0	0.117	0.716	0	0.287	0.806
ASCL1	HES6	9606.ENSP00000266744	9606.ENSP00000272937	0	0	0	0	0.074	0.094	0	0.821	0.837
ASCL1	ATOH1	9606.ENSP00000266744	9606.ENSP00000302216	0	0	0	0	0.091	0.098	0	0.837	0.855
ASCL1	NEUROG1	9606.ENSP00000266744	9606.ENSP00000317580	0	0	0	0	0.110	0.098	0	0.870	0.886
ASCL1	ID4	9606.ENSP00000266744	9606.ENSP00000367972	0	0	0	0	0.074	0.125	0	0.899	0.911
ASCL1	TCF12	9606.ENSP00000266744	9606.ENSP00000388940	0	0	0	0	0.100	0.509	0.800	0.603	0.960
ASCL1	NEUROG2	9606.ENSP00000266744	9606.ENSP00000317333	0	0	0	0	0.139	0.113	0	0.971	0.976
ASCL2	HES1	9606.ENSP00000332293	9606.ENSP00000232424	0	0	0	0	0.075	0.189	0	0.339	0.461
ASCL2	ID2	9606.ENSP00000332293	9606.ENSP00000234091	0	0	0	0	0.056	0.125	0	0.360	0.425
ASCL2	NEUROG3	9606.ENSP00000332293	9606.ENSP00000242462	0	0	0	0	0.109	0.098	0	0.363	0.443
ASCL2	TCF3	9606.ENSP00000332293	9606.ENSP00000262965	0	0	0	0	0.100	0.437	0	0.620	0.791
ASCL2	NEUROD1	9606.ENSP00000332293	9606.ENSP00000295108	0	0	0	0	0.141	0.094	0	0.329	0.432
ASCL2	ATOH1	9606.ENSP00000332293	9606.ENSP00000302216	0	0	0	0.654	0.088	0.098	0	0.414	0.477
ASCL2	ASCL4	9606.ENSP00000332293	9606.ENSP00000345420	0	0	0	0.741	0	0	0	0.409	0.409
ASCL2	HES4	9606.ENSP00000332293	9606.ENSP00000393198	0	0	0	0	0.101	0.189	0	0.275	0.425
ASCL2	MYC	9606.ENSP00000332293	9606.ENSP00000478887	0	0	0	0	0.070	0.048	0	0.412	0.434
ASCL2	TCF4	9606.ENSP00000332293	9606.ENSP00000381382	0	0	0	0	0.100	0.437	0	0.231	0.576
ASCL2	TCF12	9606.ENSP00000332293	9606.ENSP00000388940	0	0	0	0	0.100	0.437	0	0.237	0.580
ASCL3	MYOD1	9606.ENSP00000435770	9606.ENSP00000250003	0	0	0	0	0.055	0.095	0	0.559	0.590
ASCL3	TCF3	9606.ENSP00000435770	9606.ENSP00000262965	0	0	0	0	0.049	0.677	0	0.194	0.731
ASCL3	ID1	9606.ENSP00000435770	9606.ENSP00000365280	0	0	0	0	0	0.586	0	0.057	0.593
ASCL3	ID4	9606.ENSP00000435770	9606.ENSP00000367972	0	0	0	0	0	0.631	0	0.057	0.637
ASCL3	TCF4	9606.ENSP00000435770	9606.ENSP00000381382	0	0	0	0	0.049	0.715	0	0.107	0.737
ASCL3	TCF12	9606.ENSP00000435770	9606.ENSP00000388940	0	0	0	0	0.049	0.562	0	0.091	0.589
ASCL3	BHLHA15	9606.ENSP00000435770	9606.ENSP00000476312	0	0	0	0	0.058	0.071	0	0.392	0.422
ASCL4	ID2	9606.ENSP00000345420	9606.ENSP00000234091	0	0	0	0	0	0.675	0	0.057	0.680
ASCL4	ASCL2	9606.ENSP00000345420	9606.ENSP00000332293	0	0	0	0.741	0	0	0	0.409	0.409
ASCL4	TCF12	9606.ENSP00000345420	9606.ENSP00000388940	0	0	0	0	0.049	0.611	0	0.168	0.665
ASCL5	BHLHA9	9606.ENSP00000472681	9606.ENSP00000375248	0	0	0	0	0	0	0	0.532	0.532
ASCL5	BHLHE23	9606.ENSP00000472681	9606.ENSP00000480998	0	0	0	0	0.058	0.071	0	0.539	0.562
ATOH1	HES1	9606.ENSP00000302216	9606.ENSP00000232424	0	0	0	0	0	0.084	0	0.625	0.642
ATOH1	TCF3	9606.ENSP00000302216	9606.ENSP00000262965	0	0	0	0	0	0.606	0	0.317	0.719
ATOH1	ASCL1	9606.ENSP00000302216	9606.ENSP00000266744	0	0	0	0	0.091	0.098	0	0.837	0.855
ATOH1	HES6	9606.ENSP00000302216	9606.ENSP00000272937	0	0	0	0	0	0.084	0	0.399	0.426
ATOH1	MYCN	9606.ENSP00000302216	9606.ENSP00000281043	0	0	0	0	0.047	0	0	0.436	0.440
ATOH1	NEUROD1	9606.ENSP00000302216	9606.ENSP00000295108	0	0	0	0.615	0.089	0.068	0	0.350	0.400
ATOH1	NEUROD6	9606.ENSP00000302216	9606.ENSP00000297142	0	0	0	0.617	0.076	0.068	0	0.363	0.404
ATOH1	MESP1	9606.ENSP00000302216	9606.ENSP00000300057	0	0	0	0	0.059	0.076	0	0.457	0.487
ATOH1	NEUROG1	9606.ENSP00000302216	9606.ENSP00000317580	0	0	0	0.682	0.078	0.068	0	0.357	0.400
ATOH1	OLIG2	9606.ENSP00000302216	9606.ENSP00000331040	0	0	0	0.587	0.065	0.068	0	0.376	0.409
ATOH1	OLIG3	9606.ENSP00000302216	9606.ENSP00000356708	0	0	0	0.595	0.085	0.068	0	0.383	0.428
ATOH1	PTF1A	9606.ENSP00000302216	9606.ENSP00000365687	0	0	0	0.602	0.066	0.076	0	0.392	0.430
ATOH1	HEY2	9606.ENSP00000302216	9606.ENSP00000357348	0	0	0	0	0	0.084	0	0.419	0.445
ATOH1	NEUROG2	9606.ENSP00000302216	9606.ENSP00000317333	0	0	0.117	0.657	0.078	0.068	0	0.357	0.448
ATOH1	HEY1	9606.ENSP00000302216	9606.ENSP00000338272	0	0	0	0	0	0.084	0	0.428	0.454
ATOH1	ASCL2	9606.ENSP00000302216	9606.ENSP00000332293	0	0	0	0.654	0.088	0.098	0	0.414	0.477
ATOH1	OLIG1	9606.ENSP00000302216	9606.ENSP00000371785	0	0	0	0	0.064	0.068	0	0.452	0.481
ATOH1	HES5	9606.ENSP00000302216	9606.ENSP00000367714	0	0	0	0	0.047	0	0	0.706	0.707
ATOH1	TCF12	9606.ENSP00000302216	9606.ENSP00000388940	0	0	0	0	0	0.606	0	0.317	0.719
ATOH1	TCF4	9606.ENSP00000302216	9606.ENSP00000381382	0	0	0	0	0	0.467	0	0.508	0.726
ATOH7	TCF3	9606.ENSP00000362777	9606.ENSP00000262965	0	0	0	0	0	0.510	0	0.170	0.576
ATOH7	HES5	9606.ENSP00000362777	9606.ENSP00000367714	0	0	0	0	0.050	0	0	0.398	0.403
ATOH7	TCF12	9606.ENSP00000362777	9606.ENSP00000388940	0	0	0	0	0	0.385	0	0.194	0.483
ATOH7	MYC	9606.ENSP00000362777	9606.ENSP00000478887	0	0	0	0	0	0.071	0	0.474	0.491
ATOH7	TCF4	9606.ENSP00000362777	9606.ENSP00000381382	0	0	0	0	0	0.464	0	0.134	0.516
ATOH8	NEUROD1	9606.ENSP00000304676	9606.ENSP00000295108	0	0	0	0.608	0	0	0	0.485	0.485
BHLHA15	MYOD1	9606.ENSP00000476312	9606.ENSP00000250003	0	0	0	0	0.055	0.057	0	0.565	0.579
BHLHA15	TCF3	9606.ENSP00000476312	9606.ENSP00000262965	0	0	0	0	0	0.356	0	0.194	0.460
BHLHA15	ASCL3	9606.ENSP00000476312	9606.ENSP00000435770	0	0	0	0	0.058	0.071	0	0.392	0.422
BHLHA9	BHLHE23	9606.ENSP00000375248	9606.ENSP00000480998	0	0	0	0	0	0	0	0.470	0.470
BHLHA9	ASCL5	9606.ENSP00000375248	9606.ENSP00000472681	0	0	0	0	0	0	0	0.532	0.532
BHLHE22	ASCL1	9606.ENSP00000318799	9606.ENSP00000266744	0	0	0	0	0.141	0.071	0	0.473	0.543
BHLHE22	NEUROD6	9606.ENSP00000318799	9606.ENSP00000297142	0	0	0	0.595	0.277	0	0	0.241	0.428
BHLHE22	NHLH1	9606.ENSP00000318799	9606.ENSP00000302189	0	0	0	0	0.248	0.071	0	0.386	0.533
BHLHE22	NHLH2	9606.ENSP00000318799	9606.ENSP00000358519	0	0	0	0	0.282	0.071	0	0.273	0.473
BHLHE22	PTF1A	9606.ENSP00000318799	9606.ENSP00000365687	0	0	0	0.583	0.104	0.071	0	0.425	0.480
BHLHE22	BHLHE23	9606.ENSP00000318799	9606.ENSP00000480998	0	0	0.083	0.892	0.086	0	0	0.456	0.504
BHLHE23	TCF3	9606.ENSP00000480998	9606.ENSP00000262965	0	0	0	0	0	0.129	0	0.648	0.680
BHLHE23	BHLHE22	9606.ENSP00000480998	9606.ENSP00000318799	0	0	0.083	0.892	0.086	0	0	0.456	0.504
BHLHE23	BHLHA9	9606.ENSP00000480998	9606.ENSP00000375248	0	0	0	0	0	0	0	0.470	0.470
BHLHE23	ASCL5	9606.ENSP00000480998	9606.ENSP00000472681	0	0	0	0	0.058	0.071	0	0.539	0.562
BHLHE40	BHLHE41	9606.ENSP00000256495	9606.ENSP00000242728	0	0	0	0.832	0.116	0.449	0.900	0.475	0.971
BHLHE40	MYOD1	9606.ENSP00000256495	9606.ENSP00000250003	0	0	0	0	0	0.312	0	0.248	0.461
BHLHE40	EPAS1	9606.ENSP00000256495	9606.ENSP00000263734	0	0	0	0	0.103	0	0	0.372	0.413
BHLHE40	MXI1	9606.ENSP00000256495	9606.ENSP00000331152	0	0	0	0	0.042	0	0	0.422	0.423
BHLHE40	USF1	9606.ENSP00000256495	9606.ENSP00000357000	0	0	0	0	0	0	0	0.443	0.443
BHLHE40	HIF1A	9606.ENSP00000256495	9606.ENSP00000437955	0	0	0	0	0.060	0	0	0.523	0.533
BHLHE40	TCF3	9606.ENSP00000256495	9606.ENSP00000262965	0	0	0	0	0	0.338	0	0.494	0.651
BHLHE40	ARNTL2	9606.ENSP00000256495	9606.ENSP00000266503	0	0	0	0	0	0.089	0	0.683	0.699
BHLHE40	CLOCK	9606.ENSP00000256495	9606.ENSP00000426983	0	0	0	0	0	0.279	0.500	0.844	0.939
BHLHE40	NPAS2	9606.ENSP00000256495	9606.ENSP00000338283	0	0	0	0	0.042	0.363	0.500	0.920	0.972
BHLHE40	ARNTL	9606.ENSP00000256495	9606.ENSP00000384517	0	0	0	0	0.058	0.232	0.500	0.964	0.985
BHLHE41	NPAS1	9606.ENSP00000242728	9606.ENSP00000469142	0	0	0	0	0	0	0	0.542	0.542
BHLHE41	ARNTL2	9606.ENSP00000242728	9606.ENSP00000266503	0	0	0	0	0.044	0.089	0	0.543	0.567
BHLHE41	EPAS1	9606.ENSP00000242728	9606.ENSP00000263734	0	0	0	0	0.105	0	0	0.605	0.631
BHLHE41	MYOD1	9606.ENSP00000242728	9606.ENSP00000250003	0	0	0	0	0	0.312	0	0.537	0.668
BHLHE41	HIF1A	9606.ENSP00000242728	9606.ENSP00000437955	0	0	0	0	0	0.292	0	0.648	0.740
BHLHE41	CLOCK	9606.ENSP00000242728	9606.ENSP00000426983	0	0	0	0	0	0.332	0.500	0.914	0.969
BHLHE41	NPAS2	9606.ENSP00000242728	9606.ENSP00000338283	0	0	0	0	0.056	0.189	0.500	0.929	0.969
BHLHE41	BHLHE40	9606.ENSP00000242728	9606.ENSP00000256495	0	0	0	0.832	0.116	0.449	0.900	0.475	0.971
BHLHE41	ARNTL	9606.ENSP00000242728	9606.ENSP00000384517	0	0	0	0	0	0.089	0.500	0.978	0.989
CLOCK	ID2	9606.ENSP00000426983	9606.ENSP00000234091	0	0	0	0	0	0	0	0.480	0.480
CLOCK	AHR	9606.ENSP00000426983	9606.ENSP00000242057	0	0	0	0.564	0.122	0.303	0	0.126	0.418
CLOCK	BHLHE41	9606.ENSP00000426983	9606.ENSP00000242728	0	0	0	0	0	0.332	0.500	0.914	0.969
CLOCK	BHLHE40	9606.ENSP00000426983	9606.ENSP00000256495	0	0	0	0	0	0.279	0.500	0.844	0.939
CLOCK	EPAS1	9606.ENSP00000426983	9606.ENSP00000263734	0	0	0	0.583	0.049	0.284	0	0.195	0.404
CLOCK	ARNTL2	9606.ENSP00000426983	9606.ENSP00000266503	0	0	0	0.622	0.086	0.891	0.900	0.962	0.999
CLOCK	ARNT2	9606.ENSP00000426983	9606.ENSP00000307479	0	0	0	0.578	0	0	0	0.496	0.496
CLOCK	NPAS4	9606.ENSP00000426983	9606.ENSP00000311196	0	0	0	0.551	0	0.484	0	0.209	0.574
CLOCK	AHRR	9606.ENSP00000426983	9606.ENSP00000323816	0	0	0	0.553	0.091	0.303	0	0.185	0.438
CLOCK	NPAS2	9606.ENSP00000426983	9606.ENSP00000338283	0	0	0	0.930	0	0.739	0.900	0.943	0.998
CLOCK	ARNT	9606.ENSP00000426983	9606.ENSP00000351407	0	0	0	0.587	0.049	0	0	0.688	0.691
CLOCK	USF1	9606.ENSP00000426983	9606.ENSP00000357000	0	0	0	0	0	0.066	0	0.597	0.608
CLOCK	NCOA3	9606.ENSP00000426983	9606.ENSP00000361066	0	0	0	0.556	0.049	0.068	0	0.510	0.528
CLOCK	ARNTL	9606.ENSP00000426983	9606.ENSP00000384517	0	0	0	0.645	0.117	0.994	0.800	0.991	0.999
CLOCK	MYC	9606.ENSP00000426983	9606.ENSP00000478887	0	0	0	0	0	0	0	0.410	0.410
CLOCK	HIF1A	9606.ENSP00000426983	9606.ENSP00000437955	0	0	0	0.580	0	0.284	0	0.243	0.434
CLOCK	NPAS1	9606.ENSP00000426983	9606.ENSP00000469142	0	0	0	0.572	0	0.284	0	0.324	0.495
EPAS1	USF2	9606.ENSP00000263734	9606.ENSP00000222305	0	0	0	0	0	0.292	0	0.288	0.474
EPAS1	TWIST1	9606.ENSP00000263734	9606.ENSP00000242261	0	0	0	0	0.061	0	0	0.632	0.639
