t_gene	t_transcript	q_gene	q_transcript	orthology_class
ENSG00000155761	ENST00000336338.SPAG17	reg_11765	ENST00000336338.SPAG17.1	one2one
ENSG00000074855	ENST00000159087.ANO8	reg_12653	ENST00000159087.ANO8.72	one2one
ENSG00000100344	ENST00000216180.PNPLA3	reg_10365	ENST00000216180.PNPLA3.3970	one2many
ENSG00000100344	ENST00000216180.PNPLA3	reg_10511	ENST00000216180.PNPLA3.60	one2many
ENSG00000100344	ENST00000423180.PNPLA3	reg_10511	ENST00000423180.PNPLA3.60	one2many
ENSG00000100344	ENST00000423180.PNPLA3	reg_10365	ENST00000423180.PNPLA3.3970	one2many
ENSG00000165698	ENST00000372136.SPACA9	reg_626	ENST00000372136.SPACA9.58	one2one
ENSG00000165698	ENST00000350499.SPACA9	reg_626	ENST00000350499.SPACA9.58	one2one
ENSG00000159433	ENST00000290607.STARD9	reg_13682	ENST00000290607.STARD9.68	one2one
ENSG00000141404	ENST00000334049.GNAL	reg_19198	ENST00000334049.GNAL.33	one2one
ENSG00000141404	ENST00000269162.GNAL	reg_19198	ENST00000269162.GNAL.33	one2one
ENSG00000141404	ENST00000423027.GNAL	reg_19198	ENST00000423027.GNAL.33	one2one
ENSG00000088876	ENST00000612935.ZNF343	None	None	one2zero
ENSG00000088876	ENST00000278772.ZNF343	None	None	one2zero
ENSG00000088876	ENST00000617391.ZNF343	None	None	one2zero
ENSG00000107560	ENST00000355624.RAB11FIP2	reg_19139	ENST00000355624.RAB11FIP2.14	one2one
ENSG00000107560	ENST00000369199.RAB11FIP2	reg_19139	ENST00000369199.RAB11FIP2.14	one2one
ENSG00000214872	ENST00000527972.SMTNL1	reg_2731	ENST00000527972.SMTNL1.35	one2one
ENSG00000214872	ENST00000399154.SMTNL1	reg_2731	ENST00000399154.SMTNL1.35	one2one
ENSG00000100416	ENST00000643137.TRMU	reg_10240	ENST00000643137.TRMU.60	one2one
ENSG00000100416	ENST00000645190.TRMU	reg_10240	ENST00000645190.TRMU.60	one2one
ENSG00000100416	ENST00000381019.TRMU	reg_10240	ENST00000381019.TRMU.60	one2one
ENSG00000141753	ENST00000269593.IGFBP4	reg_17082	ENST00000269593.IGFBP4.42	one2one
ENSG00000108947	ENST00000226091.EFNB3	reg_17183	ENST00000226091.EFNB3.42	one2one
ENSG00000107099	ENST00000453981.DOCK8	reg_13275	ENST00000453981.DOCK8.25	one2one
ENSG00000107099	ENST00000432829.DOCK8	reg_13275	ENST00000432829.DOCK8.25	one2one
ENSG00000107099	ENST00000469391.DOCK8	reg_13275	ENST00000469391.DOCK8.25	one2one
ENSG00000167780	ENST00000301466.SOAT2	reg_9398	ENST00000301466.SOAT2.17	one2one
ENSG00000160679	ENST00000368690.CHTOP	reg_14833	ENST00000368690.CHTOP.1	one2one
ENSG00000160679	ENST00000368687.CHTOP	reg_14833	ENST00000368687.CHTOP.1	one2one
ENSG00000160679	ENST00000403433.CHTOP	reg_14833	ENST00000403433.CHTOP.1	one2one
ENSG00000160679	ENST00000368694.CHTOP	reg_14833	ENST00000368694.CHTOP.1	one2one
ENSG00000166689	ENST00000355661.PLEKHA7	reg_2660	ENST00000355661.PLEKHA7.37	one2one
ENSG00000166689	ENST00000531066.PLEKHA7	reg_2660	ENST00000531066.PLEKHA7.37	one2one
ENSG00000126746	ENST00000319770.ZNF384	reg_10297	ENST00000319770.ZNF384.17	one2one
ENSG00000126746	ENST00000396801.ZNF384	reg_10297	ENST00000396801.ZNF384.17	one2one
ENSG00000126746	ENST00000683879.ZNF384	reg_10297	ENST00000683879.ZNF384.17	one2one
ENSG00000162946	ENST00000539444.DISC1	reg_18699	ENST00000539444.DISC1.70	one2one
ENSG00000162946	ENST00000535983.DISC1	reg_18699	ENST00000535983.DISC1.70	one2one
ENSG00000162946	ENST00000366636.DISC1	reg_18699	ENST00000366636.DISC1.70	one2one
ENSG00000162946	ENST00000439617.DISC1	reg_18699	ENST00000439617.DISC1.70	one2one
ENSG00000162946	ENST00000620189.DISC1	reg_18699	ENST00000620189.DISC1.70	one2one
ENSG00000162946	ENST00000366633.DISC1	reg_18699	ENST00000366633.DISC1.70	one2one
ENSG00000162946	ENST00000602281.DISC1	reg_18699	ENST00000602281.DISC1.70	one2one
ENSG00000162946	ENST00000628350.DISC1	reg_18699	ENST00000628350.DISC1.70	one2one
ENSG00000162946	ENST00000317586.DISC1	reg_18699	ENST00000317586.DISC1.70	one2one
ENSG00000162946	ENST00000602873.DISC1	reg_18699	ENST00000602873.DISC1.70	one2one
ENSG00000162946	ENST00000366637.DISC1	reg_18699	ENST00000366637.DISC1.70	one2one
ENSG00000026559	ENST00000371571.KCNG1	reg_16347	ENST00000371571.KCNG1.20	one2one
ENSG00000186393	ENST00000335552.KRT26	reg_5612	ENST00000335552.KRT26.42	one2one
ENSG00000162367	ENST00000371884.TAL1	reg_12178	ENST00000371884.TAL1.1	one2one
ENSG00000164168	ENST00000296582.TMEM184C	reg_9855	ENST00000296582.TMEM184C.29	one2one
ENSG00000167799	ENST00000376693.NUDT8	reg_17430	ENST00000376693.NUDT8.69	one2one
ENSG00000167799	ENST00000301490.NUDT8	reg_17430	ENST00000301490.NUDT8.69	one2one
ENSG00000109758	ENST00000382774.HGFAC	reg_10816	ENST00000382774.HGFAC.24	one2one
ENSG00000109758	ENST00000511533.HGFAC	reg_10816	ENST00000511533.HGFAC.24	one2one
ENSG00000130717	ENST00000372215.UCK1	reg_8667	ENST00000372215.UCK1.58	one2one
ENSG00000130717	ENST00000372211.UCK1	reg_8667	ENST00000372211.UCK1.58	one2one
ENSG00000130717	ENST00000372210.UCK1	reg_8667	ENST00000372210.UCK1.58	one2one
ENSG00000114378	ENST00000320295.HYAL1	reg_18087	ENST00000320295.HYAL1.23	one2one
ENSG00000114378	ENST00000395143.HYAL1	reg_18087	ENST00000395143.HYAL1.23	one2one
ENSG00000152133	ENST00000409774.GPATCH11	reg_814	ENST00000409774.GPATCH11.19	one2one
ENSG00000152133	ENST00000674370.GPATCH11	reg_814	ENST00000674370.GPATCH11.19	one2one
ENSG00000178966	ENST00000325875.RMI1	reg_18593	ENST00000325875.RMI1.15	one2one
ENSG00000120137	ENST00000239231.PANK3	reg_9949	ENST00000239231.PANK3.79	one2one
ENSG00000136152	ENST00000349995.COG3	reg_6431	ENST00000349995.COG3.11	one2one
ENSG00000204978	ENST00000378187.ERICH4	reg_1511	ENST00000378187.ERICH4.52	one2one
ENSG00000163286	ENST00000295453.ALPG	reg_12835	ENST00000295453.ALPG.4436	many2many
ENSG00000163286	ENST00000295453.ALPG	reg_13082	ENST00000295453.ALPG.1784	many2many
ENSG00000163286	ENST00000295453.ALPG	reg_12889	ENST00000295453.ALPG.7	many2many
ENSG00000163286	ENST00000295453.ALPG	reg_12830	ENST00000295453.ALPG.2248	many2many
ENSG00000163283	ENST00000392027.ALPP	reg_13082	ENST00000392027.ALPP.6633	many2many
ENSG00000163283	ENST00000392027.ALPP	reg_12835	ENST00000392027.ALPP.1784	many2many
ENSG00000163283	ENST00000392027.ALPP	reg_12889	ENST00000392027.ALPP.4436	many2many
ENSG00000163283	ENST00000392027.ALPP	reg_12830	ENST00000392027.ALPP.7	many2many
ENSG00000163295	ENST00000295463.ALPI	reg_12830	ENST00000295463.ALPI.4440	many2many
ENSG00000163295	ENST00000295463.ALPI	reg_12889	ENST00000295463.ALPI.2248	many2many
ENSG00000163295	ENST00000295463.ALPI	reg_13082	ENST00000295463.ALPI.7	many2many
ENSG00000162520	ENST00000373484.SYNC	reg_13191	ENST00000373484.SYNC.51	one2one
ENSG00000162520	ENST00000409190.SYNC	reg_13191	ENST00000409190.SYNC.51	one2one
ENSG00000108439	ENST00000225573.PNPO	reg_5113	ENST00000225573.PNPO.94	one2one
ENSG00000108439	ENST00000642017.PNPO	reg_5113	ENST00000642017.PNPO.94	one2one
ENSG00000108439	ENST00000434554.PNPO	reg_5113	ENST00000434554.PNPO.94	one2one
ENSG00000140839	ENST00000619275.CLEC18B	reg_1703	ENST00000619275.CLEC18B.3738	many2one
ENSG00000140839	ENST00000339953.CLEC18B	reg_1703	ENST00000339953.CLEC18B.3738	many2one
ENSG00000140839	ENST00000682950.CLEC18B	reg_1703	ENST00000682950.CLEC18B.4006	many2one
ENSG00000157322	ENST00000615430.CLEC18A	reg_1703	ENST00000615430.CLEC18A.3743	many2one
ENSG00000157322	ENST00000449317.CLEC18A	reg_1703	ENST00000449317.CLEC18A.3743	many2one
ENSG00000157335	ENST00000536907.CLEC18C	reg_1703	ENST00000536907.CLEC18C.156	many2one
ENSG00000157335	ENST00000618957.CLEC18C	reg_1703	ENST00000618957.CLEC18C.156	many2one
ENSG00000091137	ENST00000644269.SLC26A4	reg_6126	ENST00000644269.SLC26A4.6	one2one
ENSG00000127415	ENST00000247933.IDUA	reg_10931	ENST00000247933.IDUA.24	one2one
ENSG00000173653	ENST00000309657.RCE1	reg_5944	ENST00000309657.RCE1.69	one2one
ENSG00000173653	ENST00000524506.RCE1	reg_5944	ENST00000524506.RCE1.69	one2one
ENSG00000168490	ENST00000321613.PHYHIP	reg_13448	ENST00000321613.PHYHIP.80	one2one
ENSG00000185055	ENST00000490493.EFCAB10	reg_8056	ENST00000490493.EFCAB10.6	one2one
ENSG00000185055	ENST00000480514.EFCAB10	reg_8056	ENST00000480514.EFCAB10.6	one2one
ENSG00000185055	ENST00000469099.EFCAB10	reg_8056	ENST00000469099.EFCAB10.6	one2one
ENSG00000185055	ENST00000486180.EFCAB10	reg_8056	ENST00000486180.EFCAB10.6	one2one
ENSG00000185055	ENST00000460135.EFCAB10	reg_8056	ENST00000460135.EFCAB10.6	one2one
ENSG00000185055	ENST00000485614.EFCAB10	reg_8056	ENST00000485614.EFCAB10.6	one2one
ENSG00000149679	ENST00000279101.CABLES2	reg_5026	ENST00000279101.CABLES2.82	one2one
ENSG00000145861	ENST00000393975.C1QTNF2	reg_3513	ENST00000393975.C1QTNF2.18	one2one
ENSG00000145861	ENST00000652664.C1QTNF2	reg_3513	ENST00000652664.C1QTNF2.18	one2one
ENSG00000179057	ENST00000513874.IGSF22	None	None	one2zero
ENSG00000112561	ENST00000358871.TFEB	reg_8385	ENST00000358871.TFEB.45	one2one
ENSG00000112561	ENST00000373033.TFEB	reg_8385	ENST00000373033.TFEB.45	one2one
ENSG00000112561	ENST00000420312.TFEB	reg_8385	ENST00000420312.TFEB.45	one2one
ENSG00000184557	ENST00000330871.SOCS3	reg_16870	ENST00000330871.SOCS3.64	one2one
ENSG00000133028	ENST00000255390.SCO1	reg_5341	ENST00000255390.SCO1.42	one2one
ENSG00000133028	ENST00000577427.SCO1	reg_5341	ENST00000577427.SCO1.42	one2one
ENSG00000112365	ENST00000230122.ZBTB24	reg_18951	ENST00000230122.ZBTB24.16	one2one
ENSG00000180176	ENST00000333684.TH	reg_5916	ENST00000333684.TH.39	one2one
ENSG00000180176	ENST00000381178.TH	reg_5916	ENST00000381178.TH.39	one2one
ENSG00000180176	ENST00000381175.TH	reg_5916	ENST00000381175.TH.39	one2one
ENSG00000180176	ENST00000352909.TH	reg_5916	ENST00000352909.TH.39	one2one
ENSG00000102858	ENST00000415496.MGRN1	reg_4493	ENST00000415496.MGRN1.44	one2one
ENSG00000102858	ENST00000588994.MGRN1	reg_4493	ENST00000588994.MGRN1.44	one2one
ENSG00000102858	ENST00000399577.MGRN1	reg_4493	ENST00000399577.MGRN1.44	one2one
ENSG00000102858	ENST00000262370.MGRN1	reg_4493	ENST00000262370.MGRN1.44	one2one
ENSG00000183696	ENST00000331803.UPP1	reg_8259	ENST00000331803.UPP1.109	one2one
ENSG00000144840	ENST00000483733.RABL3	reg_4206	ENST00000483733.RABL3.13	one2one
ENSG00000144840	ENST00000273375.RABL3	reg_4206	ENST00000273375.RABL3.13	one2one
ENSG00000172901	ENST00000395528.LVRN	reg_13625	ENST00000395528.LVRN.120	one2one
ENSG00000172901	ENST00000357872.LVRN	reg_13625	ENST00000357872.LVRN.120	one2one
ENSG00000113161	ENST00000287936.HMGCR	reg_13824	ENST00000287936.HMGCR.95	one2one
ENSG00000113161	ENST00000343975.HMGCR	reg_13824	ENST00000343975.HMGCR.95	one2one
ENSG00000113161	ENST00000680940.HMGCR	reg_13824	ENST00000680940.HMGCR.95	one2one
ENSG00000113161	ENST00000680160.HMGCR	reg_13824	ENST00000680160.HMGCR.95	one2one
ENSG00000189067	ENST00000413364.LITAF	reg_7096	ENST00000413364.LITAF.44	one2one
ENSG00000189067	ENST00000576036.LITAF	reg_7096	ENST00000576036.LITAF.44	one2one
ENSG00000183747	ENST00000573854.ACSM2A	reg_4486	ENST00000573854.ACSM2A.44	many2one
ENSG00000183747	ENST00000417235.ACSM2A	reg_4486	ENST00000417235.ACSM2A.44	many2one
ENSG00000066813	ENST00000565322.ACSM2B	reg_4486	ENST00000565322.ACSM2B.784	many2one
ENSG00000066813	ENST00000329697.ACSM2B	reg_4486	ENST00000329697.ACSM2B.784	many2one
ENSG00000176244	ENST00000356189.ACBD7	reg_16255	ENST00000356189.ACBD7.98	one2one
ENSG00000137752	ENST00000527979.CASP1	reg_2920	ENST00000527979.CASP1.37	many2one
ENSG00000137752	ENST00000525825.CASP1	reg_2920	ENST00000525825.CASP1.37	many2one
ENSG00000137752	ENST00000436863.CASP1	reg_2920	ENST00000436863.CASP1.37	many2one
ENSG00000255221	ENST00000375707.CARD17	reg_2920	ENST00000375707.CARD17.20609	many2one
ENSG00000157514	ENST00000514426.TSC22D3	reg_14105	ENST00000514426.TSC22D3.46	one2one
ENSG00000157514	ENST00000372382.TSC22D3	reg_14105	ENST00000372382.TSC22D3.46	one2one
ENSG00000157514	ENST00000315660.TSC22D3	reg_14105	ENST00000315660.TSC22D3.46	one2one
ENSG00000157514	ENST00000372397.TSC22D3	reg_14105	ENST00000372397.TSC22D3.46	one2one
ENSG00000157514	ENST00000372384.TSC22D3	reg_14105	ENST00000372384.TSC22D3.46	one2one
ENSG00000169550	ENST00000455601.MUC15	reg_6613	ENST00000455601.MUC15.35	one2one
ENSG00000169550	ENST00000527569.MUC15	reg_6613	ENST00000527569.MUC15.35	one2one
ENSG00000169550	ENST00000529533.MUC15	reg_6613	ENST00000529533.MUC15.35	one2one
ENSG00000108946	ENST00000588188.PRKAR1A	reg_5161	ENST00000588188.PRKAR1A.64	one2one
ENSG00000108946	ENST00000392711.PRKAR1A	reg_5161	ENST00000392711.PRKAR1A.64	one2one
ENSG00000125945	ENST00000314011.ZNF436	reg_13087	ENST00000314011.ZNF436.51	many2many
ENSG00000175395	ENST00000302609.ZNF25	reg_18709	ENST00000302609.ZNF25.548	many2many
ENSG00000175395	ENST00000302609.ZNF25	reg_14137	ENST00000302609.ZNF25.52295	many2many
ENSG00000213793	ENST00000638862.ZNF888	reg_1579	ENST00000638862.ZNF888.640	many2many
ENSG00000213793	ENST00000638862.ZNF888	reg_1523	ENST00000638862.ZNF888.750	many2many
ENSG00000213793	ENST00000638862.ZNF888	reg_1520	ENST00000638862.ZNF888.527	many2many
ENSG00000213793	ENST00000638862.ZNF888	reg_1522	ENST00000638862.ZNF888.2080	many2many
ENSG00000213793	ENST00000638862.ZNF888	reg_954	ENST00000638862.ZNF888.2608	many2many
ENSG00000213793	ENST00000638862.ZNF888	reg_1520	ENST00000638862.ZNF888.3318	many2many
ENSG00000213793	ENST00000638862.ZNF888	reg_982	ENST00000638862.ZNF888.1194	many2many
ENSG00000213793	ENST00000638862.ZNF888	reg_981	ENST00000638862.ZNF888.2925	many2many
ENSG00000213793	ENST00000638862.ZNF888	reg_1540	ENST00000638862.ZNF888.9538	many2many
ENSG00000213793	ENST00000638862.ZNF888	reg_954	ENST00000638862.ZNF888.7937	many2many
ENSG00000213793	ENST00000638862.ZNF888	reg_1538	ENST00000638862.ZNF888.621	many2many
ENSG00000213793	ENST00000638862.ZNF888	reg_1038	ENST00000638862.ZNF888.1608	many2many
ENSG00000213793	ENST00000638862.ZNF888	reg_1538	ENST00000638862.ZNF888.8983	many2many
ENSG00000213793	ENST00000638862.ZNF888	reg_1520	ENST00000638862.ZNF888.734	many2many
ENSG00000213793	ENST00000638862.ZNF888	reg_1646	ENST00000638862.ZNF888.10895	many2many
ENSG00000213793	ENST00000638862.ZNF888	reg_953	ENST00000638862.ZNF888.371	many2many
ENSG00000213793	ENST00000638862.ZNF888	reg_1632	ENST00000638862.ZNF888.13445	many2many
ENSG00000213793	ENST00000638862.ZNF888	reg_1538	ENST00000638862.ZNF888.1336	many2many
ENSG00000213793	ENST00000638862.ZNF888	reg_1624	ENST00000638862.ZNF888.1788	many2many
ENSG00000269067	ENST00000594710.ZNF728	reg_1553	ENST00000594710.ZNF728.8902	many2many
ENSG00000188283	ENST00000589413.ZNF383	reg_980	ENST00000589413.ZNF383.52	many2many
ENSG00000188283	ENST00000684119.ZNF383	reg_980	ENST00000684119.ZNF383.52	many2many
